,p-hash,duplicates,similar_p-hashes,n_categories
0,8000800000008000,"[{'filename': 'c726418dd1e036488c68c8c8c4d10ca9.jpg', 'category': 36}, {'filename': '934b68d497a5643d9a21f274ac4bf3ea.jpg', 'category': 36}]",[],1
1,804f6ba9a730c67e,"[{'filename': 'b982ef7824a19050288e655e4f61be24.jpg', 'category': 23}, {'filename': 'e831eb1e4d44355f83553cee12551079.jpg', 'category': 23}]",[],1
2,807fe307aaa13f8a,"[{'filename': 'a9580095744d105d0d77f0133562ccf7.jpg', 'category': 28}, {'filename': '8ebe12c308659df51b9aca565b6723b5.jpg', 'category': 28}]",[],1
3,807fff40b890c3c7,"[{'filename': 'b07986ef65470e44e087a41ecec583bf.jpg', 'category': 34}, {'filename': '563050684fa5d6ff7cbf1dfc858aa78f.jpg', 'category': 34}]",[],1
4,8080f77bfab605c9,"[{'filename': '1b92305de109958d32ca17aaa4303ea4.jpg', 'category': 41}, {'filename': 'd50c91817fc8a993182d498ccda906b0.jpg', 'category': 41}]",[],1
6,808fb9ccb939ca71,"[{'filename': '197283fea0a80401b04a5cfd08bdd2f6.jpg', 'category': 26}, {'filename': '1c7d30fbc8ae9ae10ed55c91e2ddd7a7.jpg', 'category': 26}]",[],1
7,80b8f8e0fc4ed687,"[{'filename': 'fb9fe2fd7a1cff47f248551bda2aab69.jpg', 'category': 17}, {'filename': '51a36389819a1d723e824723372e209d.jpg', 'category': 17}]",[],1
8,80d2f764d03d999b,"[{'filename': '36f5531591c54710be4eb167a705761a.jpg', 'category': 32}, {'filename': '79d3f6ba37e1a86dfe501aff95fe8fb3.jpg', 'category': 32}]",[],1
9,80d8fe07c13b79cc,"[{'filename': '961ce3964d5ec162b75d94af90fcbff3.jpg', 'category': 14}, {'filename': '8d20c2f5749ded81d53d19b9846d3841.jpg', 'category': 14}]",[],1
10,810f7ef09d03637c,"[{'filename': 'df30e91c9ac282f15f950048fae1868b.jpg', 'category': 31}, {'filename': '4cdd4c45e156e12590a25f10b143b38b.jpg', 'category': 31}]",[],1
14,819535c23f6a3e95,"[{'filename': 'ecab68a5a4dbfeac89ec5b0c4cfe5ca9.jpg', 'category': 14}, {'filename': 'a5954ee3eaa1aa49c210dd9cdaaa5cc7.jpg', 'category': 14}]",[],1
15,81b8fe07fe4fc0c0,"[{'filename': '5aa45eea2fcd2ce071a29d37c610c577.jpg', 'category': 28}, {'filename': '3ca8904937f1eac8e3fc288205ad076f.jpg', 'category': 28}]",[],1
16,81bd265b29b5362d,"[{'filename': 'e039076e2a80513572459999cda4fdda.jpg', 'category': 40}, {'filename': 'dea58714667dd1788b50702c162363af.jpg', 'category': 40}]",[],1
17,81c1e632fba59a3c,"[{'filename': '998d1779a0ed0588c506a460ef54a485.jpg', 'category': 17}, {'filename': 'c400b4ea8dc32acea6f983d992b1ceee.jpg', 'category': 17}]",[],1
18,81d219bbbe9c64c3,"[{'filename': '035df281486b319430f379b487e8cd1e.jpg', 'category': 29}, {'filename': 'e920dc57963461ab9d4e1450f82064f7.jpg', 'category': 29}, {'filename': '0622340a32ff9445b09c0dc16362011a.jpg', 'category': 29}]",[],1
19,81e81e853f823eb7,"[{'filename': 'ae1604a8fb1ba8e83e1d83c956a897f2.jpg', 'category': 11}, {'filename': 'fefc5bf114251faa5c61d047572ecee3.jpg', 'category': 11}]",[],1
20,820295ad9b37a5b7,"[{'filename': 'a332bca7a5646d1ddad9705645e97642.jpg', 'category': 3}, {'filename': 'a1d9388f0ccdf2cc301e8bbb09b86fd3.jpg', 'category': 3}]",[],1
21,820fd960e5f178b6,"[{'filename': '3121a4ea99064de5438c9106a4e98ca6.jpg', 'category': 38}, {'filename': 'eea917f276a10190b5c2127fe4ca9913.jpg', 'category': 38}]",[],1
22,828f3f703c1dc3c6,"[{'filename': 'f340e396e7a9ea5e086f9ad5532bf762.jpg', 'category': 10}, {'filename': 'f57b438df3de50baeb2804462c8aa9f1.jpg', 'category': 10}]",[],1
23,82abf950de6a4587,"[{'filename': '782e5b7cf3aba3829d78390537007ff2.jpg', 'category': 34}, {'filename': 'cd992ca26f30a9d6e1539a0711a94212.jpg', 'category': 34}]",[],1
24,82b9d0a7c4f1de45,"[{'filename': '57c832628a66d79d3f0db5cd26d7ee2a.jpg', 'category': 21}, {'filename': '30b21c6a66931917975d74f6c963c702.jpg', 'category': 21}]",[],1
25,82cabe25e1f19c3c,"[{'filename': 'de7d27bdd63a83848ad3e1199420903b.jpg', 'category': 29}, {'filename': '2dd6f6c57434f7edb0e3df61d9698fc1.jpg', 'category': 29}]",[],1
26,82e6d66c27da6d22,"[{'filename': '94bc96dcb0af4cdb6bb3bb13059ce13e.jpg', 'category': 15}, {'filename': 'b9481f6d4ce0028e6f332d251bddd60d.jpg', 'category': 15}]",[],1
27,833c5ad16b230f3b,"[{'filename': '92f28f74dd3e71eae783426603719472.jpg', 'category': 32}, {'filename': '2e9d9e8006c521957083691c7a1f4f33.jpg', 'category': 32}]",[],1
28,8343b9ece419c4fc,"[{'filename': '149699a556dc995941ca704a7198a1bc.jpg', 'category': 17}, {'filename': 'cd83179f50d05ce4cfea4e0465af142b.jpg', 'category': 17}, {'filename': '96b6f87fe9902213507b64cceb4387fb.jpg', 'category': 17}, {'filename': 'c4a1c4911989d21d2233f225adc04962.jpg', 'category': 17}, {'filename': 'af7c59991fc6cbc8e5ff12a91bd3295c.jpg', 'category': 17}, {'filename': 'ffe3ee6a6c9bacf4c64eb404fb6e0500.jpg', 'category': 17}, {'filename': 'af9439e26ce7b1430f9f89336e681a24.jpg', 'category': 17}, {'filename': 'a77729e645649b129fb02f006abafda6.jpg', 'category': 17}]","['c343f9ece01964f8', 'c343f9ece41944f4']",1
29,837afc85c1c11e7a,"[{'filename': 'f57137d998a0fbdf7cf1c4cf06862ecc.jpg', 'category': 28}, {'filename': '103f24211fb9cb18ca6c34cc8e613050.jpg', 'category': 28}]",[],1
30,837cfc7ec58bc081,"[{'filename': '4c401913a13bcb66b09e3a0697791375.jpg', 'category': 25}, {'filename': '77b35ac85818980d8101975dbc69d999.jpg', 'category': 25}]",[],1
31,83d966c1e8e6fa84,"[{'filename': '071c25588d3c5bd5bde086a2436dcf89.jpg', 'category': 23}, {'filename': 'e8b7c7b8df20d52729913e09baa640b4.jpg', 'category': 23}]",[],1
32,83e339c472c9269f,"[{'filename': '32452ba113b383fbcd3f8c9bad489bc5.jpg', 'category': 17}, {'filename': '6ac5b2db3b5266fc064133101d16eda0.jpg', 'category': 17}]",[],1
33,843cfbc3af38406e,"[{'filename': '9d8f0dcd2704bfea8a190f66e633b7c6.jpg', 'category': 22}, {'filename': '852a669725a7c2fc84d0c38de3de4787.jpg', 'category': 22}]",[],1
34,84444ae83c3e5f7d,"[{'filename': '0b8915f2ee42327eadb17d3ad082f3cd.jpg', 'category': 23}, {'filename': '89befe52d6f96dcd80c2572898ce99f1.jpg', 'category': 23}]",[],1
35,844abbbcee81bb28,"[{'filename': '56d4e84800dcd1d3aa071dafcfd0a15d.jpg', 'category': 18}, {'filename': '3039599b449dad98789682479ffdfbb4.jpg', 'category': 18}]",[],1
36,84582be79ccb986d,"[{'filename': '926c5f91d21214794637d7a0f4d912ad.jpg', 'category': 10}, {'filename': '2020514ee58daf9ac8a4625ee4e19ca4.jpg', 'category': 10}]",[],1
37,84cafb3582283afd,"[{'filename': 'e8c853654366460a1f23a90f346f072a.jpg', 'category': 21}, {'filename': 'cfa7d0b1d2eb2ef820f1eb255af333f2.jpg', 'category': 21}]",[],1
38,84dad63ec0b0cfa3,"[{'filename': 'c00e34565797fca066e8de4c92d9e3ea.jpg', 'category': 23}, {'filename': '741f38e7b0196b13dd500328cbeeecc0.jpg', 'category': 23}]",[],1
39,850acaf5b092e9dd,"[{'filename': 'f30c628453e9baa8987119ad475a1c3c.jpg', 'category': 18}, {'filename': 'e36e26e7637279904139f74cd37027bf.jpg', 'category': 18}]",[],1
40,8512da2df6c4c9cb,"[{'filename': 'e29e41a73df70fcd975811433c05ab86.jpg', 'category': 18}, {'filename': '181968d0aab0c0e540e0f94b40962c08.jpg', 'category': 18}]",[],1
41,852eaa91d260bdde,"[{'filename': 'fbccbd9d12760fa89cda42998089db82.jpg', 'category': 37}, {'filename': '9ac8664c4d2baecf60bb5e3859f993f4.jpg', 'category': 37}]",[],1
42,853deac29f3142b5,"[{'filename': '66f62c1d323fe50e5a7ece35c5317086.jpg', 'category': 38}, {'filename': 'ef148e85a2f0db7b9764151948a9aad0.jpg', 'category': 38}]",[],1
43,8553e56b4ba66934,"[{'filename': '88d74c88b491158d61a73aa23280a4fa.jpg', 'category': 10}, {'filename': '7bcf04b812453421cb8e83fa4701cd89.jpg', 'category': 10}]",[],1
44,85597ea169034777,"[{'filename': '95548879bc35104d2e6cf5e42cbf21e3.jpg', 'category': 32}, {'filename': '3f8413bb20bf181b380b9f7c0ba1237c.jpg', 'category': 32}]",[],1
45,855a723c878fc48f,"[{'filename': '93900dfd4dc2ac9860a8689d28b85c34.jpg', 'category': 36}, {'filename': 'a1f09b845cc352df7d0d1cef6a6573f6.jpg', 'category': 36}, {'filename': 'd99842552d06e3bcf3fa8a90abc0384f.jpg', 'category': 36}, {'filename': '6d0cde88c11f1d5801a0368b6e7ad909.jpg', 'category': 36}]",[],1
46,8583feed68b0093e,"[{'filename': 'ed938e8c48f11d04400f395a23ba8684.jpg', 'category': 17}, {'filename': '0d5d6ab18ec4441074adf62e2c866ed3.jpg', 'category': 17}]",[],1
47,8596fa698d96d232,"[{'filename': '8f75bca090ff777d3dc719ea87ccec25.jpg', 'category': 34}, {'filename': '940b43b6a8fdb8cae3abc3cfa455e410.jpg', 'category': 34}]",[],1
